Date,Open,High,Low,Close,Change %,Volume
"Oct. 16, 2020",39.57,40.23,39.33,39.46,+0.69,"1,067,001"
"Oct. 15, 2020",38.64,39.59,38.60,39.19,-0.89,"1,020,761"
"Oct. 14, 2020",40.67,41.11,39.10,39.54,-2.25,"1,010,454"
"Oct. 13, 2020",40.99,41.29,40.10,40.45,-1.08,"659,635"
"Oct. 12, 2020",42.59,42.59,40.87,40.89,-2.29,"791,335"
"Oct. 09, 2020",41.00,42.82,40.57,41.85,+2.37,"947,187"
"Oct. 08, 2020",40.46,41.00,40.00,40.88,+2.20,"903,825"
"Oct. 07, 2020",39.18,40.09,38.39,40.00,+3.82,"1,246,705"
"Oct. 06, 2020",38.99,39.79,38.22,38.53,-0.64,"756,817"
"Oct. 05, 2020",38.34,38.94,37.73,38.78,+0.67,"842,824"
"Oct. 02, 2020",38.03,39.00,37.88,38.52,-1.58,"1,372,801"
"Oct. 01, 2020",38.40,39.34,38.02,39.14,+3.79,"1,996,874"
"Sep. 30, 2020",37.81,38.88,37.09,37.71,+0.45,"1,733,650"
"Sep. 29, 2020",37.80,37.92,37.11,37.54,-0.50,"733,365"
"Sep. 28, 2020",38.28,38.74,37.49,37.73,+1.15,"844,223"
"Sep. 25, 2020",36.44,37.68,35.81,37.30,+2.56,"967,912"
"Sep. 24, 2020",35.79,36.85,35.52,36.37,+0.11,"1,072,914"
"Sep. 23, 2020",38.50,38.89,36.32,36.33,-6.46,"1,136,740"
"Sep. 22, 2020",37.97,39.03,37.44,38.84,+3.52,"832,527"
"Sep. 21, 2020",36.28,37.73,35.50,37.52,+0.05,"766,751"
"Sep. 18, 2020",37.45,37.75,36.72,37.50,+0.03,"1,236,863"
"Sep. 17, 2020",36.28,37.72,36.26,37.49,+0.64,"2,320,385"
"Sep. 16, 2020",37.59,38.01,37.12,37.25,-0.03,"1,830,091"
"Sep. 15, 2020",37.03,37.55,36.62,37.26,+2.67,"1,941,191"
"Sep. 14, 2020",35.85,36.47,35.67,36.29,+3.21,"1,626,862"
"Sep. 11, 2020",36.76,36.76,34.92,35.16,-4.07,"1,927,740"
"Sep. 10, 2020",37.68,38.55,36.48,36.65,-1.64,"1,042,390"
"Sep. 09, 2020",38.05,38.17,36.39,37.26,-0.21,"1,815,673"
"Sep. 08, 2020",36.23,38.34,35.47,37.34,-4.55,"2,216,958"
"Sep. 04, 2020",40.01,40.91,37.30,39.12,-1.76,"1,943,481"
"Sep. 03, 2020",41.80,42.00,39.13,39.82,-6.24,"2,796,803"
"Sep. 02, 2020",44.25,44.36,41.59,42.47,-3.04,"2,114,557"
"Sep. 01, 2020",42.63,44.38,42.32,43.80,+3.94,"1,279,824"
"Aug. 31, 2020",44.27,44.36,41.85,42.14,-4.68,"1,981,766"
"Aug. 28, 2020",45.51,45.76,43.08,44.21,+0.05,"3,546,110"
"Aug. 27, 2020",44.84,45.04,43.51,44.19,0.00,"1,711,231"
"Aug. 26, 2020",45.34,45.46,43.98,44.19,-1.25,"1,738,205"
"Aug. 25, 2020",43.82,44.79,43.14,44.75,+2.12,"1,641,112"
"Aug. 24, 2020",43.86,44.06,43.30,43.82,+1.69,"1,956,483"
"Aug. 21, 2020",41.98,43.13,41.98,43.09,+2.57,"1,328,059"
"Aug. 20, 2020",41.30,42.03,40.90,42.01,+0.33,"1,107,415"
"Aug. 19, 2020",43.20,44.13,41.59,41.87,-1.92,"1,648,959"
"Aug. 18, 2020",41.29,43.09,41.02,42.69,+3.74,"2,058,262"
"Aug. 17, 2020",39.98,41.66,39.75,41.15,+4.05,"1,722,346"
"Aug. 14, 2020",40.02,40.22,39.45,39.55,-1.42,"927,591"
"Aug. 13, 2020",39.16,40.37,38.93,40.12,+2.50,"1,803,866"
"Aug. 12, 2020",38.00,39.79,38.00,39.14,+3.71,"1,452,796"
"Aug. 11, 2020",38.51,39.19,36.87,37.74,-1.31,"1,336,603"
"Aug. 10, 2020",40.65,41.20,37.79,38.24,-4.92,"1,404,754"
"Aug. 07, 2020",40.01,41.41,39.41,40.22,-0.69,"1,480,335"
"Aug. 06, 2020",39.42,40.75,39.03,40.50,+2.51,"1,662,902"
"Aug. 05, 2020",39.50,40.25,38.71,39.51,+1.31,"1,290,083"
"Aug. 04, 2020",38.68,39.14,37.98,39.00,+0.75,"1,134,386"
"Aug. 03, 2020",38.49,39.16,38.01,38.71,+1.26,"1,339,138"
"Jul. 31, 2020",39.60,39.60,37.39,38.23,-2.99,"1,382,109"
"Jul. 30, 2020",38.88,39.80,38.19,39.41,-0.28,"1,034,573"
"Jul. 29, 2020",38.29,39.66,38.02,39.52,+4.91,"1,564,890"
"Jul. 28, 2020",38.21,38.62,37.65,37.67,-0.61,"764,592"
"Jul. 27, 2020",37.60,38.38,37.46,37.90,+2.05,"1,566,655"
"Jul. 24, 2020",36.75,37.45,36.05,37.14,-0.32,"527,530"
"Jul. 23, 2020",38.24,39.02,36.89,37.26,-3.65,"988,450"
"Jul. 22, 2020",37.90,38.78,37.66,38.67,+2.11,"808,237"
"Jul. 21, 2020",38.64,38.68,37.66,37.87,-0.92,"699,868"
"Jul. 20, 2020",36.15,38.42,36.15,38.22,+5.84,"1,384,556"
"Jul. 17, 2020",35.46,36.17,35.12,36.11,+2.97,"1,084,772"
"Jul. 16, 2020",35.63,35.63,34.53,35.07,-2.47,"1,124,360"
"Jul. 15, 2020",36.15,36.70,35.36,35.96,+2.19,"1,291,034"
"Jul. 14, 2020",34.55,35.24,33.78,35.19,+0.23,"1,415,126"
"Jul. 13, 2020",37.70,37.90,34.91,35.11,-5.54,"2,825,220"
"Jul. 10, 2020",37.68,37.70,36.72,37.17,-0.88,"836,133"
"Jul. 09, 2020",39.17,39.18,37.34,37.50,-3.08,"995,302"
"Jul. 08, 2020",38.88,39.54,38.11,38.69,-0.26,"1,569,041"
"Jul. 07, 2020",37.98,40.47,37.57,38.79,+2.38,"2,443,343"
"Jul. 06, 2020",38.20,39.06,37.77,37.89,+1.15,"2,575,551"
"Jul. 02, 2020",36.00,37.73,35.91,37.46,+4.23,"2,912,400"
"Jul. 01, 2020",35.39,35.97,35.12,35.94,+1.70,"1,661,432"
"Jun. 30, 2020",34.83,35.68,34.83,35.34,+0.51,"966,839"
"Jun. 29, 2020",34.64,35.21,33.72,35.16,+2.60,"1,281,718"
"Jun. 26, 2020",35.33,35.55,34.15,34.27,-3.44,"696,195"
"Jun. 25, 2020",34.99,35.67,34.39,35.49,+1.40,"819,161"
"Jun. 24, 2020",35.81,36.06,34.42,35.00,-3.71,"2,318,300"
"Jun. 23, 2020",36.43,36.93,36.01,36.35,+1.03,"2,903,572"
"Jun. 22, 2020",36.25,36.68,35.87,35.98,-0.42,"1,417,231"
"Jun. 19, 2020",37.47,37.47,36.11,36.13,-0.99,"2,060,157"
"Jun. 18, 2020",36.67,37.16,36.27,36.49,-1.27,"1,766,732"
"Jun. 17, 2020",37.28,37.88,36.82,36.96,-0.59,"1,083,990"
"Jun. 16, 2020",37.67,38.12,36.13,37.18,+3.28,"1,715,864"
"Jun. 15, 2020",34.52,36.16,33.17,36.00,-2.52,"3,296,337"
"Jun. 12, 2020",36.01,37.05,35.37,36.93,+6.46,"1,443,060"
"Jun. 11, 2020",35.60,36.28,34.45,34.69,-8.54,"2,123,178"
"Jun. 10, 2020",37.66,38.54,36.37,37.93,+1.15,"1,666,994"
"Jun. 09, 2020",36.16,38.05,35.82,37.50,+1.90,"1,645,912"
"Jun. 08, 2020",36.96,37.13,35.77,36.80,+0.46,"1,434,814"
"Jun. 05, 2020",36.50,37.02,35.83,36.63,+3.21,"3,581,937"
"Jun. 04, 2020",33.64,35.56,33.64,35.49,+1.81,"1,596,833"
"Jun. 03, 2020",32.84,34.90,32.30,34.86,+7.86,"3,136,780"
